time_min,C_F_mM,C_Ca_mM,C_F_normalized,sorbed_F_umol_g
216.0,0.00767753238342564,0.1,0.036559678016312575,0.0007322154255425128
217.0,0.007712399309447666,0.1,0.03672571099736984,0.0007356036184803555
218.0,0.007747260224401703,0.1,0.03689171535429383,0.0007389918102701291
219.0,0.007782115129324066,0.1,0.03705769109201937,0.0007423800009118339
220.0,0.007816964025250886,0.1,0.03722363821548041,0.0007457681904054703
221.0,0.007851806913218115,0.1,0.03738955672961007,0.0007491563787510386
222.0,0.00788664379426153,0.1,0.03755544663934062,0.0007525445659485392
223.0,0.007921474669416726,0.1,0.03772130794960346,0.0007559327519979726
224.0,0.00795629953971912,0.1,0.037887140665329146,0.0007593209368993392
225.0,0.00799111840620395,0.1,0.03805294479144739,0.0007627091206526392
226.0,0.008025931269906278,0.1,0.03821872033288704,0.0007660973032578733
227.0,0.008060738131860987,0.1,0.038384467294576126,0.0007694854847150416
228.0,0.008095538993102776,0.1,0.03855018568144179,0.0007728736650241446
229.0,0.008130333854666176,0.1,0.03871587549841037,0.0007762618441851824
230.0,0.008165122717585536,0.1,0.03888153675040732,0.0007796500221981556
231.0,0.008199905582895017,0.1,0.03904716944235723,0.0007830381990630651
232.0,0.008234682451628617,0.1,0.03921277357918389,0.0007864263747799108
233.0,0.008269453324820143,0.1,0.039378349165810206,0.0007898145493486931
234.0,0.008304218203503232,0.1,0.03954389620715825,0.0007932027227694123
235.0,0.008338977088711338,0.1,0.03970941470814923,0.000796590895042069
236.0,0.008373729981477736,0.1,0.039874904673703505,0.0007999790661666635
237.0,0.00840847688283553,0.1,0.04004036610874063,0.0008033672361431962
238.0,0.008443217793817641,0.1,0.04020579901817924,0.0008067554049716673
239.0,0.008477952715456809,0.1,0.04037120340693719,0.0008101435726520776
240.0,0.008512681648785603,0.1,0.04053657927993145,0.000813531739184427
241.0,0.008547404594836409,0.1,0.04070192664207814,0.0008169199045687165
242.0,0.008582121554641435,0.1,0.040867245498292556,0.0008203080688049459
243.0,0.008616832529232713,0.1,0.04103253585348911,0.0008236962318931157
244.0,0.008651537519642094,0.1,0.041197797712581405,0.0008270843938332265
245.0,0.008686236526901255,0.1,0.04136303108048217,0.0008304725546252787
246.0,0.008720929552041698,0.1,0.041528235962103324,0.0008338607142692726
247.0,0.008755616596094737,0.1,0.041693412362355894,0.0008372488727652087
248.0,0.008790297660091519,0.1,0.04185856028615009,0.000840637030113087
249.0,0.008824972745063003,0.1,0.04202367973839525,0.0008440251863129083
250.0,0.008859641852039976,0.1,0.042188770723999895,0.0008474133413646728
251.0,0.00889430498205305,0.1,0.04235383324787167,0.000850801495268381
252.0,0.008928962136132652,0.1,0.0425188673149174,0.0008541896480240332
253.0,0.00896361331530904,0.1,0.042683872930043054,0.0008575777996316298
254.0,0.008998258520612288,0.1,0.04284885009815375,0.0008609659500911712
255.0,0.009032897753072294,0.1,0.043013798824153786,0.0008643540994026577
256.0,0.009067531013718778,0.1,0.043178719112946566,0.0008677422475660899
257.0,0.009102158303581284,0.1,0.04334361096943469,0.0008711303945814679
258.0,0.009136779623689176,0.1,0.04350847439851989,0.0008745185404487925
